"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","COUNTERPART_COUNTRY.ID","COUNTERPART_COUNTRY","FREQUENCY.ID","FREQUENCY","SCALE.ID","SCALE","TRADE_FLOW.ID","TRADE_FLOW","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TUV.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TUV","Tuvalu","A","Annual","6","Millions","MG","Imports of goods","","0.001435","0.00001","","0.006559","0.006247","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.YUG.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","YUG","Yugoslavia, Socialist Federal Republic of","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TX899.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TX899","Special Categories","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TON.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TON","Tonga","A","Annual","6","Millions","MG","Imports of goods","0.000064","","","","","0.003031","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.VUT.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","VUT","Vanuatu","A","Annual","6","Millions","MG","Imports of goods","0.024894","0.000449","0.006537","0.016964","0.015366","0.029698","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.VCT.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","VCT","St. Vincent and the Grenadines","A","Annual","6","Millions","MG","Imports of goods","0.000057","0.001509","0.000488","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TX126.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TX126","Belgium-Luxembourg","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.ATG.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","ATG","Antigua and Barbuda","A","Annual","6","Millions","MG","Imports of goods","0.000392","0.000003","0.00239","0.00554","0.000347","0.001918","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TON.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TON","Tonga","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TUV.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TUV","Tuvalu","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
